createdAt,surveyUrl,modifiedAt,name,id,folderId
2018-11-28T11:35:17.512Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/12410068,2021-04-30T10:26:42.821Z,FICHE DE SUIVI DES OP,12410068,30433178
2018-11-28T10:36:00.675Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/4420071,2020-03-26T03:58:44.100Z,5_FICHE SIGNALETIQUE SUR LES RETENUS D'EAU,4420071,30433178
2018-12-24T13:07:02.602Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/10890056,2020-03-26T03:58:44.508Z,3_FICHE DE RECENSEMENT DES PISTES DE DESSERTE,10890056,30433178
2018-12-25T08:02:51.317Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/3010001,2020-03-26T03:58:43.961Z,4_FICHE DE RECENSEMENT DES PERIMETRES IRRIGUES,3010001,30433178
2018-11-28T11:37:27.441Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/4440053,2020-03-26T03:58:44.236Z,FICHE DE SUIVI DES RESSOURCES HUMAINES,4440053,30433178
2018-11-28T10:27:25.337Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/36540002,2021-05-18T11:32:22.899Z,1_RECENSEMENT DES PLANTATIONS ANACARDIERS,36540002,30433178
2020-01-23T10:02:51.245Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/411990129,2020-03-26T03:58:46.629Z,1_RECENSEMENT_ANACARDIERS_ddaep_borgou,411990129,30433178
2018-11-28T10:40:07.553Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/24380066,2020-03-26T03:58:44.938Z,2_CONSTRUCTIONS ET HABITATS,24380066,30433178
2018-11-28T11:33:08.770Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/36540005,2021-04-30T09:59:27.906Z,FICHE SUIVI DE LA PLUVIOMETRIE,36540005,30433178
2018-11-28T11:55:11.924Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/36510005,2020-03-26T03:58:45.370Z,FICHE SIGNALÉTIQUE SUR LE MANIOC,36510005,30433178
2018-11-28T11:38:39.779Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/32420060,2020-03-26T03:58:45.070Z,FICHE SUIVI DES ACTIVITÉS (PTAB ET HORS PTAB),32420060,30433178
2019-12-18T16:16:39.478Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys/382473848,2020-03-26T03:58:46.281Z,test akvo,382473848,30433178
